Path,Status,GSC_URL,Clicks,Impressions,Redirect_Destination
"/jasa-upgrade-reinstall-install-ulang-mac-macbook-surabaya-gresik-sidoarjo-madura","Both","https://www.kotacom.id/jasa-upgrade-reinstall-install-ulang-mac-macbook-surabaya-gresik-sidoarjo-madura","4","248",""
"/jual-game-original-surabaya-steam-origin","Both","https://www.kotacom.id/jual-game-original-surabaya-steam-origin","4","1376",""
"/list-software-windows-macbook-terbaru","Both","https://www.kotacom.id/list-software-windows-macbook-terbaru","4","250",""
"/rakit-pc-2-jutaan-2025-strategi-hybrid-baru-bekas-terbaik","Both","https://www.kotacom.id/rakit-pc-2-jutaan-2025-strategi-hybrid-baru-bekas-terbaik","4","1822",""
"/service-komputer-service-laptop-surabaya","Both","https://www.kotacom.id/service-komputer-service-laptop-surabaya","4","1279",""
"/termurah-500ribu-an-jasa-pembuatan-website-sidoarjo-jawa-timur","Both","https://www.kotacom.id/termurah-500ribu-an-jasa-pembuatan-website-sidoarjo-jawa-timur","4","756",""
"/jasa-pembuatan-website","GSC Only","https://www.kotacom.id/jasa-pembuatan-website","4","520","/pembuatan-website"
"/product-tag/jasa-rakit-pc-sidoarjo/page/2","GSC Only","https://www.kotacom.id/product-tag/jasa-rakit-pc-sidoarjo/page/2","4","52",""
"/product-tag/jual-pc-rakitan-murah-nganjuk/page/2","GSC Only","https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-nganjuk/page/2","4","30",""
"/product/flashdisk-sandisk-16-gb-300-lagu-karaoke-hits-update-terbaru-0","GSC Only","https://www.kotacom.id/product/flashdisk-sandisk-16-gb-300-lagu-karaoke-hits-update-terbaru-0","4","142","/products/flashdisk-sandisk-16-gb-300-lagu-karaoke-hits-update-terbaru-0"
"/product/pc-intel-core-i5-ram-32gb-ddr4-ssd-512gb-garansi","GSC Only","https://www.kotacom.id/product/pc-intel-core-i5-ram-32gb-ddr4-ssd-512gb-garansi","4","50","/products/pc-intel-core-i5-ram-32gb-ddr4-ssd-512gb-garansi"
"/product/pc-intel-core-i7-6700-ram-32gb-ssd-1tb-monitor-led-24-inc","GSC Only","https://www.kotacom.id/product/pc-intel-core-i7-6700-ram-32gb-ssd-1tb-monitor-led-24-inc","4","102","/products/pc-intel-core-i7-6700-ram-32gb-ssd-1tb-monitor-led-24-inc"
"/product/pc-rakitan-core-i3-3210-gen-3-4gb-500gb-rakit-pc-surabaya","GSC Only","https://www.kotacom.id/product/pc-rakitan-core-i3-3210-gen-3-4gb-500gb-rakit-pc-surabaya","4","272","/products/pc-rakitan-core-i3-3210-gen-3-4gb-500gb-rakit-pc-surabaya"
"/product/pc-rakitan-gaming-core-i7-8700-ssd-120gb-8gb-gtx-1650-4gb","GSC Only","https://www.kotacom.id/product/pc-rakitan-gaming-core-i7-8700-ssd-120gb-8gb-gtx-1650-4gb","4","197","/products/pc-rakitan-gaming-core-i7-8700-ssd-120gb-8gb-gtx-1650-4gb"
"/product/pc-rakitan-gaming-ryzen-3-2200g-ssd-120gb-8gb-500gb","GSC Only","https://www.kotacom.id/product/pc-rakitan-gaming-ryzen-3-2200g-ssd-120gb-8gb-500gb","4","207","/products/pc-rakitan-gaming-ryzen-3-2200g-ssd-120gb-8gb-500gb"
"/5-rekomendasi-jasa-layout-buku-profesional-di-surabaya-harga-portofolio","Both","https://www.kotacom.id/5-rekomendasi-jasa-layout-buku-profesional-di-surabaya-harga-portofolio","3","45",""
"/cetak-buku-full-color-vs-hitam-putih-mana-lebih-untung","Both","https://www.kotacom.id/cetak-buku-full-color-vs-hitam-putih-mana-lebih-untung","3","298",""
"/jasa-cetak-buku-gianyar","Both","https://www.kotacom.id/jasa-cetak-buku-gianyar","3","175","/"
"/jasa-cetak-buku-lampung-barat","Both","https://www.kotacom.id/jasa-cetak-buku-lampung-barat","3","101","/"
"/jasa-cetak-buku-manokwari-selatan","Both","https://www.kotacom.id/jasa-cetak-buku-manokwari-selatan","3","507","/"
"/jasa-cetak-buku-nagekeo","Both","https://www.kotacom.id/jasa-cetak-buku-nagekeo","3","43","/"
"/jasa-cetak-buku-palu","Both","https://www.kotacom.id/jasa-cetak-buku-palu","3","483","/"
"/jasa-cetak-buku-pringsewu","Both","https://www.kotacom.id/jasa-cetak-buku-pringsewu","3","176","/"
"/jasa-cetak-buku-sarolangun","Both","https://www.kotacom.id/jasa-cetak-buku-sarolangun","3","488","/"
"/jasa-cetak-buku-tanjung-pinang","Both","https://www.kotacom.id/jasa-cetak-buku-tanjung-pinang","3","206","/"
"/jasa-cetak-buku-yasin-surabaya","Both","https://www.kotacom.id/jasa-cetak-buku-yasin-surabaya","3","134","/"
"/jasa-install-software-adobe-collection-photoshop-illustrator-acrobat-indesign-after-effect-premiere-pro-dll-cs6-cc-2017-surabaya-full-panggilan","Both","https://www.kotacom.id/jasa-install-software-adobe-collection-photoshop-illustrator-acrobat-indesign-after-effect-premiere-pro-dll-cs6-cc-2017-surabaya-full-panggilan","3","126",""
"/jasa-pasang-karaoke-surabaya","Both","https://www.kotacom.id/jasa-pasang-karaoke-surabaya","3","112",""
"/jasa-website-surabaya-1-promo-100rb","Both","https://www.kotacom.id/jasa-website-surabaya-1-promo-100rb","3","504",""
"/no-1-jual-game-pc-pasuruan","Both","https://www.kotacom.id/no-1-jual-game-pc-pasuruan","3","54",""
"/pc-gaming-fullset-murah-2-jutaan-realita-kompromi-ekstrim-2025","Both","https://www.kotacom.id/pc-gaming-fullset-murah-2-jutaan-realita-kompromi-ekstrim-2025","3","956",""
"/print-on-demand-pod-vs-cetak-offset-di-surabaya-mana-pilihan-terbaik","Both","https://www.kotacom.id/print-on-demand-pod-vs-cetak-offset-di-surabaya-mana-pilihan-terbaik","3","116",""
"/products/hardisk-eksternal-1tb-full-isi-film-hd-game-pc-dan-lainnya-0","Both","https://www.kotacom.id/products/hardisk-eksternal-1tb-full-isi-film-hd-game-pc-dan-lainnya-0","3","202",""
"/rakit-pc-untuk-anak-sd-panduan-terbaik-2025","Both","https://www.kotacom.id/rakit-pc-untuk-anak-sd-panduan-terbaik-2025","3","40",""
"/rekomendasi-jual-game-pc-jepara","Both","https://www.kotacom.id/rekomendasi-jual-game-pc-jepara","3","58",""
"/rekomendasi-jual-game-pc-klaten","Both","https://www.kotacom.id/rekomendasi-jual-game-pc-klaten","3","24",""
"/rekomendasi-jual-game-pc-magetan","Both","https://www.kotacom.id/rekomendasi-jual-game-pc-magetan","3","41",""
"/services/it-support-terbaik","Both","https://www.kotacom.id/services/it-support-terbaik","3","106",""
"/terbaik-jual-game-pc-nganjuk","Both","https://www.kotacom.id/terbaik-jual-game-pc-nganjuk","3","26",""
